sid,station_name,lat,lon,elev,begints,rw_name,rw_heading,faa_id,real_name
PAKK,KOYUK,64.93949,-161.15427,40.0,1976-05-03 12:00:00-05,Runway 1/19,24.0,KKA,Koyuk Alfred Adams Airport
PAKU,KUPARUK AIRPORT,70.33083,-149.5975,20.0,1974-11-01 10:00:00-06,Runway 6/24,78.0,UBW,Ugnu-Kuparuk Airport
PFKW,Kwethluk,60.7903,-161.4437,6.0,2014-05-15 10:56:00-05,Runway 18/36,196.0,KWT,Kwethluk Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway 14/32,153.0,LHD,Lake Hood Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway E/W,,LHD,Lake Hood Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway N/S,,LHD,Lake Hood Airport
PALH,Lake Hood Seaplane,61.17861,-149.96511,22.0,1973-01-04 14:00:00-06,Runway SE/NW,,LHD,Lake Hood Airport
PAML,MANLEY HOT SPRINGS,64.99756,-150.64413000000005,82.0,1977-12-01 06:00:00-06,Runway 18/36,,MLY,Manley Hot Springs Airport
PAMB,MANOKOTAK,58.98333,-159.05,16.0,2010-03-05 14:59:00-06,Runway 3/21,40.0,MBA,Manokotak Airport
PADM,MARSHALL,61.86428000000001,-162.02611000000005,31.0,2010-02-23 00:01:00-06,Runway 7/25,85.0,MDM,Marshall Don Hunter Sr Airport
PAMX,MCCARTHY,61.43333000000001,-142.93333,455.0,1974-04-21 11:00:00-05,Runway 1/19,,15Z,McCarthy Airport
PAMC,MCGRATH (ASOS),62.952780000000004,-155.60703999999996,103.0,1948-07-03 00:00:00-05,Runway 16/34,179.0,MCG,Mc Grath Airport
PAMC,MCGRATH (ASOS),62.952780000000004,-155.60703999999996,103.0,1948-07-03 00:00:00-05,Runway 5/23,68.0,MCG,Mc Grath Airport
PAIN,MCKINLEY PARK,63.7326,-148.91064,524.0,1975-12-02 17:00:00-06,Runway 16/34,,INR,Mc Kinley NTL Park Airport
PAMY,MEKORYUK,60.37,-166.27,15.0,1983-11-03 18:00:00-06,Runway 5/23,65.0,MYU,Mekoryuk Airport
PAMR,Merrill Field,61.216330000000006,-149.85728999999995,30.0,1945-01-01 05:00:00-05,Runway 7/25,90.0,MRI,Merrill Field Airport
PAMR,Merrill Field,61.216330000000006,-149.85728999999995,30.0,1945-01-01 05:00:00-05,Runway 16/34,180.0,MRI,Merrill Field Airport
PAMR,Merrill Field,61.216330000000006,-149.85728999999995,30.0,1945-01-01 05:00:00-05,Runway 5/23,66.0,MRI,Merrill Field Airport
PAER,MERRILL PASS WEST,61.25,-153.82,358.0,1973-08-25 11:00:00-05,,,,
PAMM,Metlakatla Seaplane Base,55.1308,-131.5762,5.912203,1996-07-01 03:33:00-05,Runway E/W,,MTM,Metlakatla Seaplane Base
PAMM,Metlakatla Seaplane Base,55.1308,-131.5762,5.912203,1996-07-01 03:33:00-05,Runway N/S,,MTM,Metlakatla Seaplane Base
PAMD,MIDDLETON ISL. AMOS,59.431999999999995,-146.338,14.0,1945-01-01 07:00:00-05,Runway 2/20,34.0,MDO,Middleton Island Airport
PAMD,MIDDLETON ISL. AMOS,59.431999999999995,-146.338,14.0,1945-01-01 07:00:00-05,Runway 13/31,149.0,MDO,Middleton Island Airport
PAMH,MINCHUMINA,63.886,-152.30187,214.0,1948-07-01 05:00:00-05,Runway 3/21,45.0,MHM,Minchumina Airport
PAMO,MOUNTAIN VILLAGE,62.09528,-163.68194,102.0,2010-02-23 00:56:00-06,Runway 2/20,32.0,MOU,Mountain Village Airport
PABN,NABESNA/DEVIL MTN,62.401669999999996,-142.99528,882.0,1991-12-31 18:00:00-06,Runway 14/32,,IBN,Devils Mountain Lodge Airport
PANA,Napakiak,60.6903,-161.9785,1.0,1994-08-30 10:00:00-05,Runway 16/34,175.0,WNA,Napakiak Airport
PAOU,NELSON LAGOON,56.01,-161.16,4.0,2010-02-23 00:06:00-06,Runway 8/26,96.0,OUL,Nelson Lagoon Airport
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1943-07-06 11:00:00-05,Runway 4L/22R,59.0,ENN,Nenana Municipal Airport
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1943-07-06 11:00:00-05,Runway 4R/22L,59.0,ENN,Nenana Municipal Airport
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1943-07-06 11:00:00-05,Runway 4W/22W,56.0,ENN,Nenana Municipal Airport
PANW,NEW STUYAHOK,59.45,-157.33,92.0,2010-02-23 00:56:00-06,Runway 14/32,153.0,KNW,New Stuyahok Airport
PAFS,NIKOLAI,63.02,-154.36,126.0,2010-02-23 00:56:00-06,Runway 5/23,63.0,FSP,Nikolai Airport
PAWN,NOATAK,67.56611,-162.975,30.0,1994-12-31 18:00:00-06,Runway 1/19,22.0,WTK,Noatak Airport
PAOM,NOME (ASOS),64.5122,-165.44525,7.0,1940-01-01 10:00:00-06,Runway 3/21,42.0,OME,Nome Airport
PAOM,NOME (ASOS),64.5122,-165.44525,7.0,1940-01-01 10:00:00-06,Runway 10/28,110.0,OME,Nome Airport
PFNO,Noorvik,66.81753,-161.02225,16.8,1973-01-03 17:00:00-06,Runway 6/24,75.0,D76,Robert (Bob) Curtis Memorial Airport
PAOR,NORTHWAY (ASOS),62.96139,-141.92917,525.0,1945-01-01 04:00:00-05,Runway 5/23,76.0,ORT,Northway Airport
PFNU,Nuiqsut,70.49542,-150.25347,-2.0,2018-07-01 19:05:00-05,Helipad H1,,AK3,Oooguruk Island Heliport
PAQT,NUIQSUT (ASOS),70.20995,-151.00556,17.0,1998-08-01 03:53:00-05,Runway 5/23,70.0,AQT,Nuiqsut Airport
PPNU,Nuiqsut/Pioneer,70.4141,-150.01859,15.0,2018-04-19 00:55:00-05,Helipad H1,,AA2,Otp Heliport
PPIT,Nunapitchuk,60.90600000000001,-162.4406,1.0,2014-05-15 10:56:00-05,Runway 18/36,196.0,16A,Nunapitchuk Airport
PPIT,Nunapitchuk,60.90600000000001,-162.4406,1.0,2014-05-15 10:56:00-05,Runway NE/SW,,16A,Nunapitchuk Airport
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000005,71.0,1972-12-31 18:00:00-06,Runway 16/34,180.0,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000005,71.0,1972-12-31 18:00:00-06,Runway 10/28,113.0,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000005,71.0,1972-12-31 18:00:00-06,Helipad H1,,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000005,71.0,1972-12-31 18:00:00-06,Runway 16S/34S,180.0,PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PAXK,PAXSON,63.02458000000001,-145.50055,809.0,1974-04-18 20:00:00-05,Runway 13/31,,PXK,Paxson Airport
PAPG,Petersburg,56.7999,-132.9501,26.476944,1948-07-01 04:00:00-05,Runway 5/23,71.0,PSG,Petersburg James A Johnson Airport
PAPN,PILOT POINT,57.58,-157.57,17.0,2010-02-23 18:41:00-06,Runway 7/25,90.0,PNP,Pilot Point Airport
PAPM,PLATINUM,59.01,-161.82,5.0,1942-10-01 08:00:00-05,Runway 14/32,155.0,PTU,Platinum Airport
PAPO,POINT HOPE (AWOS),68.35,-166.8,4.0,1943-10-01 07:00:00-05,Runway 1/19,22.0,PHO,Point Hope Airport
PPIZ,POINT LAY(DEW/AWOS),69.73288000000001,-163.00534,6.0,1957-08-01 13:00:00-05,Runway 5/23,69.0,PIZ,Point Lay LRRS Airport
PAAD,Point Thomson Airstrip,70.13600000000001,-146.2901,5.0,2014-07-24 20:15:00-05,Runway 5/23,,37A,Point Thomson Airstrip
PATO,PORTAGE GLACIER CENTER (ASOS),60.785,-148.83889,29.0,1998-11-01 03:53:00-06,,,,
PAAP,PORT ALEXANDER,56.24684,-134.64815,1.0,1979-05-07 10:00:00-05,Runway N/S,,AHP,Port Alexander Seaplane Base
PALJ,PORT ALSWORTH,60.20399999999999,-154.319,81.0,1972-12-31 18:00:00-06,Runway 6L/24R,,TPO,Port Alsworth Airport
PAPC,Port Clarence,65.2537,-166.8585,5.0,1972-12-31 18:00:00-06,Runway 16/34,180.0,KPC,Port Clarence Coast Guard Station
PAPH,PORT HEIDEN (AMOS),56.9591,-158.63336,29.0,1942-08-02 23:00:00-05,Runway 6/24,70.0,PTH,Port Heiden Airport
PAPH,PORT HEIDEN (AMOS),56.9591,-158.63336,29.0,1942-08-02 23:00:00-05,Runway 14/32,147.0,PTH,Port Heiden Airport
PAPR,PROSPECT CREEK,66.81406,-150.64361,335.0,1948-01-01 04:00:00-06,Runway 1/19,32.0,PPC,Prospect Creek Airport
PAPT,PUNTILLA (LAKE),62.1,-152.75,560.0,1972-12-31 19:00:00-06,,,,
PAQH,Quinhagak,59.7551,-161.8454,12.0,2014-02-12 11:56:00-06,Runway 12/30,134.0,AQH,Quinhagak Airport
PADG,Red Dog,68.03211,-162.89919,295.4,2007-12-01 10:14:00-06,Runway 3/21,42.0,DGG,Red Dog Airport
PARD,RED DOG,68.03139,-162.90306,288.97864,2010-09-07 19:46:00-05,,,,
PARY,RUBY,64.73,-155.47,199.0,1953-06-01 05:00:00-05,Runway 3/21,51.0,RBY,Ruby Airport
PARS,RUSSIAN MISSION,61.77489,-161.3194,16.0,1976-05-12 03:00:00-05,Runway 18/36,188.0,RSH,Russian Mission Airport
PARS,RUSSIAN MISSION,61.77489,-161.3194,16.0,1976-05-12 03:00:00-05,Runway 18W/36W,,RSH,Russian Mission Airport
PASM,SAINT MARY S (AWOS),62.06083,-163.30183,95.0,1979-04-08 12:00:00-06,Runway 17/35,182.0,KSM,St Mary's Airport
PASM,SAINT MARY S (AWOS),62.06083,-163.30183,95.0,1979-04-08 12:00:00-06,Runway 6/24,77.0,KSM,St Mary's Airport
PASN,SAINT PAUL ISLAND (ASOS),57.15528000000001,-170.22222,9.0,1943-11-05 05:00:00-05,Runway 18/36,190.0,SNP,St Paul Island Airport
PASD,SAND POINT,55.31369,-160.52142,7.0,1980-06-01 10:00:00-05,Runway 14/32,148.0,SDP,Sand Point Airport
PASA,SAVOONGA AIRPORT,63.68639,-170.49264,16.0,1987-06-29 11:00:00-05,Runway 5/23,60.0,SVA,Savoonga Airport
PACM,SCAMMON BAY,61.84454,-165.57375,4.0,2010-02-23 00:04:00-06,Runway 10/28,113.0,SCM,Scammon Bay Airport
PASK,SELAWIK,66.60014,-159.98575,8.0,1993-12-31 18:00:00-06,Runway 4/22,53.0,WLK,Selawik Airport
PASK,SELAWIK,66.60014,-159.98575,8.0,1993-12-31 18:00:00-06,Runway 9/27,106.0,WLK,Selawik Airport
PASO,SELDOVIA (ASOS),59.44244000000001,-151.70405,10.0,1997-06-01 03:53:00-05,Runway 16/34,,SOV,Seldovia Airport
PAWD,SEWARD (ASOS),60.12694000000001,-149.41861,18.0,1945-01-01 12:00:00-05,Runway 13/31,146.0,SWD,Seward Airport
PAWD,SEWARD (ASOS),60.12694000000001,-149.41861,18.0,1945-01-01 12:00:00-05,Runway 16/34,177.0,SWD,Seward Airport
PAHX,Shageluk,62.69231,-159.5692,17.0,2014-02-05 09:24:00-06,Runway 16/34,179.0,SHX,Shageluk Airport
PAHX,Shageluk,62.69231,-159.5692,17.0,2014-02-05 09:24:00-06,Runway 18W/36W,,SHX,Shageluk Airport
PFSH,Shaktoolik,64.37108,-161.22397,7.0,2010-12-05 15:58:00-06,Runway 15/33,158.0,2C7,Shaktoolik Airport
PASP,SHEEP MOUNTAIN,61.81225,-147.50445,838.0,1948-12-31 18:00:00-06,Runway 5/23,69.0,SMU,Sheep Mountain Airport
PASY,SHEMYA AFB,52.71406999999999,174.11691000000005,30.0,1943-06-21 14:00:00-05,Runway 10/28,,SYA,Eareckson Air Station
PASH,SHISHMAREF (AWOS),66.24956999999999,-166.08935,2.0,1983-11-04 11:00:00-06,Runway 5/23,63.0,SHH,Shishmaref Airport
PAGH,Shungnak,66.88808,-157.1624,60.0,1985-02-08 15:00:00-06,Runway 10/28,117.0,SHG,Shungnak Airport
PASI,SITKA/JAPONSKI ARPT (ASOS),57.04714,-135.36161,20.0,1948-07-01 04:00:00-05,Runway 11/29,136.0,SIT,Sitka Rocky Gutierrez Airport
PAGY,SKAGWAY (ASOS),59.46006,-135.31566,5.0,1943-10-01 04:00:00-05,Runway 2/20,,SGY,Skagway Airport
PASW,SKWENTNA,61.96529,-151.19137,45.0,1948-07-31 05:00:00-05,Runway 10/28,116.0,SKW,Skwentna Airport
PADT,SLANA AIRPORT,62.708890000000004,-143.98111,730.0,1974-09-03 19:00:00-05,Runway 5/23,,DDT,Duffy's Tavern Airport
PASL,SLEETMUTE,61.71666999999999,-157.15,54.0,1994-03-01 03:00:00-06,Runway 15/33,166.0,SLQ,Sleetmute Airport
PALK,SNOWSHOE LAKE,62.03333000000001,-142.66666,735.0,1972-12-31 18:00:00-06,,,,
PASX,SOLDOTNA,60.47583,-151.03417,33.0,1983-05-01 19:00:00-05,Runway 7/25,90.0,SXQ,Soldotna Airport
PASX,SOLDOTNA,60.47583,-151.03417,33.0,1983-05-01 19:00:00-05,Runway 7S/25S,90.0,SXQ,Soldotna Airport
PFWS,South Naknek,58.70208,-157.00258,46.595665000000004,1994-08-18 08:00:00-05,Runway 13/31,139.0,WSN,South Naknek Nr 2 Airport
PFWS,South Naknek,58.70208,-157.00258,46.595665000000004,1994-08-18 08:00:00-05,Runway 5/23,61.0,WSN,South Naknek Nr 2 Airport
PASV,SPARREVOHN (AWOS),61.09721,-155.57477,484.0,1951-07-11 06:00:00-05,Runway 16/34,180.0,SVW,Sparrevohn LRRS Airport
PAPB,ST GEORGE ISLAND (ASOS),56.57694,-169.66306,35.0,1996-10-01 03:53:00-05,Runway 11/29,118.0,PBV,St George Airport
PAMK,ST MICHAEL,63.49,-162.11,28.0,2010-02-23 00:56:00-06,Runway 2/20,32.0,SMK,St Michael Airport
PAJV,SUTTON,61.71666999999999,-148.88333,265.0,1991-12-31 18:00:00-06,,,,
PATK,TALKEETNA (ASOS),62.32,-150.095,109.0,1948-07-01 11:00:00-05,Runway 1/19,27.0,TKA,Talkeetna Airport
PATA,TANANA/CALHOUN MEM (ASOS),65.17444,-152.10693999999995,67.0,1943-06-01 05:00:00-05,Runway 7/25,89.0,TAL,Ralph M Calhoun Memorial Airport
PATL,TATALINA (AWOS),62.894369999999995,-155.97653,294.0,1952-04-01 08:00:00-06,Runway 17/35,182.0,TLJ,Tatalina LRRS Airport
PATE,Teller,65.24038,-166.33934,90.0,1943-08-01 06:00:00-05,Runway 8/26,89.0,TER,Teller Airport
PATC,TIN CITY AFS (AWOS),65.56403,-167.92246,83.0,1953-05-04 13:00:00-05,Runway 16/34,,TNC,Tin City LRRS Airport
PATG,TOGIAC VILLAGE AWOS,59.05363000000001,-160.39692,6.0,1989-12-01 12:00:00-06,Runway 3/21,42.0,TOG,Togiak Airport
PATG,TOGIAC VILLAGE AWOS,59.05363000000001,-160.39692,6.0,1989-12-01 12:00:00-06,Runway 10/28,112.0,TOG,Togiak Airport
PAOO,TOOKSOK BAY,60.54134000000001,-165.08719,18.0,2010-02-23 00:56:00-06,Runway 16/34,176.0,OOK,Toksook Bay Airport
PAUM,Umiat,69.3711,-152.135,83.0,1946-01-01 04:00:00-06,Runway 6/24,83.0,UMT,Umiat Airport
PAUN,UNALAKLEET (AWOS),63.8885,-160.79911,6.0,1943-06-01 13:00:00-05,Runway 15/33,164.0,UNK,Unalakleet Airport
PAUN,UNALAKLEET (AWOS),63.8885,-160.79911,6.0,1943-06-01 13:00:00-05,Runway 9/27,98.0,UNK,Unalakleet Airport
PAVW,VALDEZ,61.13333000000001,-146.35,10.0,1967-07-02 13:00:00-05,,,,
PAVD,VALDEZ,61.13399999999999,-146.248,37.0,1975-04-30 19:00:00-05,Runway 6/24,81.0,VDZ,Valdez Pioneer Field Airport
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1941-02-05 20:00:00-06,Runway 7/25,89.0,FBK,Ladd Army Airfield
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1941-02-05 20:00:00-06,Helipad H1,,FBK,Ladd Army Airfield
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1941-02-05 20:00:00-06,Helipad H2,,FBK,Ladd Army Airfield
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1941-02-05 20:00:00-06,Helipad H3,,FBK,Ladd Army Airfield
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1941-02-05 20:00:00-06,Helipad H4,,FBK,Ladd Army Airfield
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1941-02-05 20:00:00-06,Helipad H5,,FBK,Ladd Army Airfield
PAWI,WAINWRIGHT AIRPORT (ASOS),70.638,-159.99475,27.0,1948-07-01 07:00:00-05,Runway 6/24,67.0,AWI,Wainwright Airport
PAIW,Wales,65.62258,-168.09493999999995,6.7,2010-02-23 00:39:00-06,Runway 18/36,189.0,IWK,Wales Airport
PAWS,WASILLA NEW ARPT,61.57194000000001,-149.54056,113.0,1948-07-01 06:00:00-05,Runway 4/22,56.0,IYS,Wasilla Airport
PAWS,WASILLA NEW ARPT,61.57194000000001,-149.54056,113.0,1948-07-01 06:00:00-05,Runway 4S/22S,56.0,IYS,Wasilla Airport
PAWM,White Mountain,64.6892,-163.4128,81.0,2011-11-18 23:58:00-06,Runway 15/33,164.0,WMO,White Mountain Airport
PAWR,WHITTIER,60.777,-148.722,9.0,1975-04-30 22:00:00-05,Runway 4/22,56.0,IEM,Whittier Airport
PAUO,WILLOW AIRPORT,61.75419,-150.05174,67.0,1978-01-01 12:00:00-06,Runway 13/31,154.0,UUO,Willow Airport
PAWG,WRANGELL,56.48433000000001,-132.36983,13.0,1972-12-31 18:00:00-06,Runway 10/28,121.0,WRG,Wrangell Airport
PAYA,Yakutat,59.51209,-139.67103,14.729266,1941-05-01 09:00:00-05,Runway 11/29,135.0,YAK,Yakutat Airport
PAYA,Yakutat,59.51209,-139.67103,14.729266,1941-05-01 09:00:00-05,Runway 2/20,45.0,YAK,Yakutat Airport
